backbone,arm_id,arm_name,seed,trainable_parameters,total_parameters,wall_clock_seconds,n_train_examples,n_train_pos,n_train_neg,val_mrr,val_top1,val_top3,val_ndcg,val_auprc,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_auprc,test_ece,test_brier
gnn,A1,random_mismatch,20260729,187265,187265,9.4,788,394,394,0.329132,0.058824,0.392157,0.491021,0.153596,0.366922,0.243913,0.33381,0.072727,0.4,0.494368,0.175866,0.367725,0.244863
gnn,A1,random_mismatch,20260730,187265,187265,9.23,788,394,394,0.381373,0.137255,0.509804,0.531351,0.195929,0.365811,0.243089,0.422597,0.2,0.527273,0.562164,0.214134,0.367016,0.24431
gnn,A2,random_corruption,20260721,187265,187265,15.24,788,394,394,0.354995,0.117647,0.45098,0.509074,0.138287,0.376897,0.251372,0.325498,0.072727,0.345455,0.486647,0.122755,0.377223,0.252097
gnn,A2,random_corruption,20260722,187265,187265,9.32,788,394,394,0.281419,0.039216,0.294118,0.452128,0.117983,0.36872,0.245335,0.25342,0.0,0.290909,0.430654,0.123067,0.36831,0.245458
gnn,A2,random_corruption,20260723,187265,187265,12.13,788,394,394,0.326751,0.078431,0.372549,0.487662,0.129455,0.375351,0.250245,0.317619,0.072727,0.363636,0.480853,0.13062,0.375165,0.250533
gnn,A2,random_corruption,20260724,187265,187265,14.69,788,394,394,0.373156,0.137255,0.470588,0.523364,0.145157,0.371608,0.247386,0.378052,0.127273,0.472727,0.528027,0.144754,0.37219,0.248277
gnn,A2,random_corruption,20260725,187265,187265,15.11,788,394,394,0.310014,0.058824,0.333333,0.474911,0.128424,0.375615,0.250446,0.294719,0.036364,0.309091,0.463183,0.118236,0.375488,0.250805
gnn,A2,random_corruption,20260726,187265,187265,11.77,788,394,394,0.326237,0.078431,0.392157,0.48715,0.152505,0.371112,0.247079,0.363506,0.109091,0.454545,0.516673,0.148472,0.370755,0.247231
gnn,A2,random_corruption,20260727,187265,187265,11.71,788,394,394,0.359244,0.078431,0.54902,0.514039,0.149967,0.37621,0.250873,0.364762,0.090909,0.472727,0.518296,0.161092,0.376115,0.251215
gnn,A2,random_corruption,20260728,187265,187265,14.93,788,394,394,0.387302,0.137255,0.470588,0.53472,0.179701,0.378598,0.252655,0.38303,0.127273,0.454545,0.531694,0.156495,0.378509,0.253031
gnn,A2,random_corruption,20260729,187265,187265,14.78,788,394,394,0.31606,0.039216,0.470588,0.481167,0.146516,0.38232,0.255476,0.305779,0.054545,0.418182,0.471964,0.128798,0.382656,0.256192
gnn,A2,random_corruption,20260730,187265,187265,9.55,788,394,394,0.347969,0.078431,0.470588,0.504719,0.153523,0.368738,0.2453,0.377468,0.109091,0.490909,0.527765,0.14964,0.368763,0.245735
gnn,A3,tanimoto_retrieval,20260721,187265,187265,15.53,788,394,394,0.243931,0.0,0.27451,0.422408,0.124932,0.701658,0.680452,0.270087,0.018182,0.290909,0.44323,0.136003,0.675568,0.650675
gnn,A3,tanimoto_retrieval,20260722,187265,187265,15.06,788,394,394,0.268254,0.019608,0.294118,0.441474,0.124413,0.707633,0.695571,0.297619,0.036364,0.345455,0.465449,0.138323,0.69138,0.675464
gnn,A3,tanimoto_retrieval,20260723,187265,187265,15.46,788,394,394,0.251727,0.0,0.27451,0.428782,0.123744,0.689265,0.684342,0.296277,0.054545,0.327273,0.463244,0.136852,0.667001,0.661608
gnn,A3,tanimoto_retrieval,20260724,187265,187265,15.11,788,394,394,0.254528,0.0,0.27451,0.43117,0.123805,0.596819,0.527653,0.303831,0.036364,0.363636,0.470173,0.141731,0.562308,0.488476
gnn,A3,tanimoto_retrieval,20260725,187265,187265,15.1,788,394,394,0.266527,0.019608,0.254902,0.439719,0.125536,0.726502,0.701348,0.31671,0.072727,0.363636,0.479324,0.146316,0.712228,0.685996
gnn,A3,tanimoto_retrieval,20260726,187265,187265,15.59,788,394,394,0.259804,0.019608,0.27451,0.434684,0.124257,0.701177,0.68492,0.304156,0.036364,0.4,0.470638,0.139262,0.694842,0.674147
gnn,A3,tanimoto_retrieval,20260727,187265,187265,15.51,788,394,394,0.242577,0.0,0.254902,0.421698,0.127135,0.635105,0.610374,0.273074,0.0,0.254545,0.446513,0.141119,0.600082,0.573687
gnn,A3,tanimoto_retrieval,20260728,187265,187265,15.01,788,394,394,0.272176,0.039216,0.27451,0.443841,0.131407,0.715355,0.704882,0.312554,0.090909,0.309091,0.475031,0.151899,0.7135,0.696367
gnn,A3,tanimoto_retrieval,20260729,187265,187265,15.32,788,394,394,0.271989,0.019608,0.313725,0.444742,0.130717,0.671871,0.66808,0.303766,0.036364,0.4,0.469532,0.15119,0.644296,0.643798
gnn,A3,tanimoto_retrieval,20260730,187265,187265,9.63,788,394,394,0.282073,0.058824,0.235294,0.450747,0.129307,0.367629,0.244419,0.305844,0.054545,0.4,0.470842,0.146087,0.366129,0.243597
gnn,A4,template_perturbation,20260721,187265,187265,15.2,788,394,394,0.321102,0.058824,0.392157,0.484263,0.145374,0.354085,0.238759,0.318831,0.072727,0.345455,0.481578,0.166981,0.369729,0.250883
gnn,A4,template_perturbation,20260722,187265,187265,15.08,788,394,394,0.316853,0.058824,0.352941,0.481308,0.162702,0.403968,0.272891,0.346407,0.090909,0.418182,0.503747,0.168333,0.410534,0.278579
gnn,A4,template_perturbation,20260723,187265,187265,15.07,788,394,394,0.313959,0.058824,0.372549,0.478507,0.143756,0.381869,0.25642,0.318139,0.072727,0.327273,0.480732,0.166452,0.390155,0.26303
gnn,A4,template_perturbation,20260724,187265,187265,9.35,788,394,394,0.336975,0.098039,0.392157,0.495637,0.178304,0.372549,0.248091,0.368528,0.145455,0.4,0.51943,0.170357,0.374027,0.249584
gnn,A4,template_perturbation,20260725,187265,187265,14.82,788,394,394,0.318441,0.078431,0.333333,0.480188,0.170593,0.366941,0.244593,0.334632,0.109091,0.363636,0.492392,0.190369,0.375036,0.250766
gnn,A4,template_perturbation,20260726,187265,187265,9.58,788,394,394,0.289963,0.039216,0.313725,0.458926,0.140343,0.374046,0.249215,0.287662,0.036364,0.290909,0.45718,0.158636,0.375121,0.250348
gnn,A4,template_perturbation,20260727,187265,187265,15.15,788,394,394,0.312278,0.058824,0.372549,0.477169,0.144998,0.3978,0.277197,0.3471,0.090909,0.418182,0.503906,0.167761,0.420259,0.297072
gnn,A4,template_perturbation,20260728,187265,187265,9.38,788,394,394,0.312979,0.058824,0.294118,0.477076,0.143329,0.378817,0.252804,0.299481,0.036364,0.363636,0.466665,0.158682,0.379247,0.253492
gnn,A4,template_perturbation,20260729,187265,187265,9.27,788,394,394,0.32437,0.058824,0.411765,0.487083,0.149353,0.369017,0.245458,0.330325,0.072727,0.363636,0.491097,0.173336,0.369864,0.246441
gnn,A4,template_perturbation,20260730,187265,187265,9.24,788,394,394,0.314286,0.058824,0.333333,0.478782,0.146241,0.365106,0.242583,0.325671,0.072727,0.363636,0.487271,0.17575,0.365806,0.243426
gnn,A5,unconstrained_edit,20260721,187265,187265,12.19,788,394,394,0.32542,0.078431,0.45098,0.486486,0.136624,0.380144,0.253851,0.310952,0.036364,0.345455,0.476086,0.122343,0.380201,0.254351
gnn,A5,unconstrained_edit,20260722,187265,187265,14.63,788,394,394,0.302218,0.039216,0.45098,0.469456,0.126862,0.389923,0.262675,0.314286,0.054545,0.327273,0.478446,0.127012,0.398007,0.268935
gnn,A5,unconstrained_edit,20260723,187265,187265,9.37,788,394,394,0.327264,0.078431,0.372549,0.487719,0.129836,0.388602,0.260363,0.321104,0.054545,0.381818,0.484444,0.134516,0.388466,0.260677
gnn,A5,unconstrained_edit,20260724,187265,187265,9.24,788,394,394,0.340243,0.078431,0.490196,0.499577,0.147902,0.374927,0.249888,0.372468,0.127273,0.418182,0.523273,0.143797,0.375545,0.250779
gnn,A5,unconstrained_edit,20260725,187265,187265,15.03,788,394,394,0.325934,0.098039,0.372549,0.486129,0.130015,0.392277,0.263852,0.306818,0.036364,0.4,0.473461,0.127779,0.397853,0.268298
gnn,A5,unconstrained_edit,20260726,187265,187265,9.05,788,394,394,0.309944,0.058824,0.411765,0.47464,0.136782,0.377393,0.251796,0.311385,0.036364,0.418182,0.47731,0.128351,0.377117,0.252007
